"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901989","GO:1901989","positive regulation of cell cycle phase transition","8/234","124/18481",0.000182862874895698,0.00506977990909806,0.00468843912326563,"Cdc20/Rrm2/Fam83d/Birc5/Stil/Dtl/Cdca5/Rad51b",8
"GO:1905820","GO:1905820","positive regulation of chromosome separation","4/234","25/18481",0.000257083018489137,0.00705550061853519,0.00652479707744358,"Cdc20/Ncaph/Ncapd2/Ncapg",4
"GO:0006282","GO:0006282","regulation of DNA repair","9/234","166/18481",0.000271514129924841,0.00737703891005792,0.00682214976979574,"Hmga2/Foxm1/Rad51/Npas2/Parpbp/Ddx11/Polq/Aunip/Eya2",9
"GO:1901992","GO:1901992","positive regulation of mitotic cell cycle phase transition","7/234","100/18481",0.000281225318219879,0.00756523950102388,0.00699619421147318,"Cdc20/Rrm2/Birc5/Stil/Dtl/Cdca5/Rad51b",7
"GO:0007127","GO:0007127","meiosis I","8/234","133/18481",0.000295312696142644,0.00786249318701314,0.00727108894771724,"Espl1/Trip13/Aurka/Chtf18/Fancd2/Rad51/Birc5/Rad54b",8
"GO:0051984","GO:0051984","positive regulation of chromosome segregation","4/234","26/18481",0.000300824200657009,0.00786249318701314,0.00727108894771724,"Ncaph/Aurkb/Ncapd2/Ncapg",4
"GO:0045876","GO:0045876","positive regulation of sister chromatid cohesion","3/234","11/18481",0.000306744305418989,0.00786249318701314,0.00727108894771724,"Bub1/Sgo2/Ddx11",3
"GO:0060623","GO:0060623","regulation of chromosome condensation","3/234","11/18481",0.000306744305418989,0.00786249318701314,0.00727108894771724,"Ncaph/Ncapd2/Ncapg",3
"GO:1904146","GO:1904146","positive regulation of meiotic cell cycle process involved in oocyte maturation","3/234","11/18481",0.000306744305418989,0.00786249318701314,0.00727108894771724,"Cdc20/Mastl/Aurka",3
"GO:0051445","GO:0051445","regulation of meiotic cell cycle","6/234","73/18481",0.000324153736625747,0.0081008134939874,0.00749148318003522,"Cdc20/Ttk/Mastl/Trip13/Aurka/Fbxo43",6
"GO:0070192","GO:0070192","chromosome organization involved in meiotic cell cycle","6/234","73/18481",0.000324153736625747,0.0081008134939874,0.00749148318003522,"Ncaph/Ncapd2/Mastl/Trip13/Fancd2/Rad51",6
"GO:0045931","GO:0045931","positive regulation of mitotic cell cycle","8/234","135/18481",0.000326721426864474,0.0081008134939874,0.00749148318003522,"Cdc20/Rrm2/Aurka/Birc5/Stil/Dtl/Cdca5/Rad51b",8
"GO:0010639","GO:0010639","negative regulation of organelle organization","14/234","376/18481",0.000327968157651312,0.0081008134939874,0.00749148318003522,"Tpx2/Bub1/Ttk/Bub1b/Trip13/Knl1/Kntc1/Birc5/Recql4/Scin/Tlr2/Pif1/Kif24/Fbxo43",14
"GO:0061640","GO:0061640","cytoskeleton-dependent cytokinesis","7/234","103/18481",0.000337129033577585,0.00820127615513416,0.00758438919950613,"Kif23/Kif4a/Aurkb/Iqgap3/Nusap1/Cenpa/Birc5",7
"GO:0051302","GO:0051302","regulation of cell division","9/234","171/18481",0.000338072480447194,0.00820127615513416,0.00758438919950613,"Prc1/Kif23/Aurkb/Kif18b/Aurka/E2f8/Kif14/Evi2b/Sfrp2",9
"GO:0000281","GO:0000281","mitotic cytokinesis","6/234","74/18481",0.000349072203714077,0.00839317856186857,0.00776185701225433,"Kif23/Kif4a/Iqgap3/Nusap1/Cenpa/Birc5",6
"GO:2001252","GO:2001252","positive regulation of chromosome organization","7/234","104/18481",0.000357624978837894,0.00852339532896981,0.00788227908112699,"Bub1/Ncaph/Aurkb/Ncapd2/Ncapg/Sgo2/Ddx11",7
"GO:0031109","GO:0031109","microtubule polymerization or depolymerization","8/234","137/18481",0.000360803761153094,0.00852438103524309,0.00788319064414128,"Tpx2/Kif2c/Kif18b/Ska3/Ska1/Kif18a/Psrc1/Kif24",8
"GO:0051052","GO:0051052","regulation of DNA metabolic process","16/234","475/18481",0.000381612325154269,0.00893828178831162,0.00826595844050126,"Hmgb2/Aurkb/Slfn13/Hmga2/Foxm1/Rad51/Cdt1/Gmnn/E2f8/Npas2/Parpbp/Ddx11/Polq/Aunip/Pif1/Eya2",16
"GO:0007064","GO:0007064","mitotic sister chromatid cohesion","4/234","28/18481",0.00040390395065785,0.00932934626760157,0.00862760767129572,"Cdc20/Bub1/Sgo1/Cdca5",4
"GO:0051177","GO:0051177","meiotic sister chromatid cohesion","3/234","12/18481",0.000405175877650712,0.00932934626760157,0.00862760767129572,"Bub1/Bub1b/Sgo2",3
